participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route,error in pointing task
11,2011-06-21 18:27:29 UTC,0,Harvey House,Harris Hall,Lynch Station,91,32.28246429,58.71753571,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Harvey House,Harris Hall,Tobler Museum,67,42.14615863,24.85384137,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Harvey House,Harris Hall,Snow Church,19,66.19140238,47.19140238,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Harvey House,Harris Hall,Sauer Center,29,46.29205396,17.29205396,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Harvey House,Harris Hall,Batty House,91,46.54689912,44.45310088,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Harvey House,Harris Hall,Golledge Hall,59,64.9530254,5.953025403,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Harvey House,Harris Hall,Harris Hall,40,4.196894849,35.80310515,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Golledge Hall,Snow Church,Batty House,17,173.5694617,156.5694617,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Golledge Hall,Snow Church,Snow Church,178,1.204134401,176.7958656,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Golledge Hall,Snow Church,Tobler Museum,132,147.0284471,15.02844706,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Golledge Hall,Snow Church,Harris Hall,22,176.2022806,154.2022806,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Golledge Hall,Snow Church,Sauer Center,22,76.21088344,54.21088344,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Golledge Hall,Snow Church,Harvey House,176,139.9309368,36.06906322,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Golledge Hall,Snow Church,Lynch Station,22,173.9683139,151.9683139,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Snow Church,Sauer Center,Lynch Station,88,79.44851915,8.551480846,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Snow Church,Sauer Center,Golledge Hall,126,125.8431145,0.15688545,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Snow Church,Sauer Center,Sauer Center,4,0.279262352,3.720737648,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Snow Church,Sauer Center,Batty House,175,90.64700942,84.35299058,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Snow Church,Sauer Center,Tobler Museum,144,63.69277617,80.30722383,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Snow Church,Sauer Center,Harris Hall,171,88.09346154,82.90653846,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Snow Church,Sauer Center,Harvey House,111,119.6929579,8.69295786,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Sauer Center,Tobler Museum,Harris Hall,21,4.240040564,16.75995944,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Sauer Center,Tobler Museum,Golledge Hall,4,51.85616181,47.85616181,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Sauer Center,Tobler Museum,Harvey House,69,23.09134403,45.90865597,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Sauer Center,Tobler Museum,Lynch Station,35,17.76205492,17.23794508,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Sauer Center,Tobler Museum,Tobler Museum,4,2.713388186,1.286611814,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Sauer Center,Tobler Museum,Batty House,72,6.744508622,65.25549138,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Sauer Center,Tobler Museum,Snow Church,87,89.63525726,2.635257259,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Tobler Museum,Sauer Center,Sauer Center,15,20.69981416,5.699814155,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Tobler Museum,Sauer Center,Lynch Station,45,156.2355625,111.2355625,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Tobler Museum,Sauer Center,Golledge Hall,81,67.30353066,13.69646934,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Tobler Museum,Sauer Center,Harris Hall,31,173.2852643,142.2852643,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Tobler Museum,Sauer Center,Batty House,111,171.0086651,60.00866514,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Tobler Museum,Sauer Center,Harvey House,45,147.248191,102.248191,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Tobler Museum,Sauer Center,Snow Church,55,38.78279809,16.21720191,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Batty House,Lynch Station,Harris Hall,24,37.5286373,13.5286373,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Batty House,Lynch Station,Snow Church,64,48.19947553,15.80052447,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Batty House,Lynch Station,Tobler Museum,66,37.30802198,28.69197802,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Batty House,Lynch Station,Lynch Station,35,47.32798389,12.32798389,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Batty House,Lynch Station,Golledge Hall,4,51.76768154,47.76768154,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Batty House,Lynch Station,Sauer Center,30,30.3316951,0.331695097,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Batty House,Lynch Station,Harvey House,76,93.19423766,17.19423766,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Lynch Station,Harris Hall,Snow Church,40,8.968174613,31.03182539,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Lynch Station,Harris Hall,Golledge Hall,67,3.323863738,63.67613626,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Lynch Station,Harris Hall,Harris Hall,1,7.021704671,6.021704671,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Lynch Station,Harris Hall,Harvey House,70,48.19593801,21.80406199,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Lynch Station,Harris Hall,Batty House,127,130.6542463,3.654246333,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Lynch Station,Harris Hall,Tobler Museum,28,17.95076442,10.04923558,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Lynch Station,Harris Hall,Sauer Center,31,29.20903342,1.790966576,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Harris Hall,Harvey House,Golledge Hall,75,77.71082192,2.710821925,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Harris Hall,Harvey House,Tobler Museum,41,99.95984558,58.95984558,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Harris Hall,Harvey House,Batty House,21,83.35216568,62.35216568,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Harris Hall,Harvey House,Lynch Station,100,114.5627943,14.56279428,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Harris Hall,Harvey House,Harvey House,83,2.146796904,80.8532031,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Harris Hall,Harvey House,Snow Church,99,84.7281122,14.2718878,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Harris Hall,Harvey House,Sauer Center,43,110.6574336,67.65743363,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Harvey House,Harris Hall,Harris Hall,19,4.196894849,14.80310515,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Harvey House,Harris Hall,Golledge Hall,38,64.9530254,26.9530254,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Harvey House,Harris Hall,Lynch Station,91,32.28246429,58.71753571,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Harvey House,Harris Hall,Tobler Museum,91,42.14615863,48.85384137,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Harvey House,Harris Hall,Sauer Center,31,46.29205396,15.29205396,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Harvey House,Harris Hall,Batty House,81,46.54689912,34.45310088,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Harvey House,Harris Hall,Snow Church,16,66.19140238,50.19140238,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Golledge Hall,Snow Church,Tobler Museum,49,147.0284471,98.02844706,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Golledge Hall,Snow Church,Batty House,16,173.5694617,157.5694617,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Golledge Hall,Snow Church,Snow Church,2,1.204134401,0.795865599,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Golledge Hall,Snow Church,Harvey House,165,139.9309368,25.06906322,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Golledge Hall,Snow Church,Lynch Station,161,173.9683139,12.96831391,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Golledge Hall,Snow Church,Sauer Center,68,76.21088344,8.210883445,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Golledge Hall,Snow Church,Harris Hall,10,176.2022806,166.2022806,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Snow Church,Sauer Center,Harris Hall,33,88.09346154,55.09346154,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Snow Church,Sauer Center,Sauer Center,3,0.279262352,2.720737648,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Snow Church,Sauer Center,Batty House,114,90.64700942,23.35299058,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Snow Church,Sauer Center,Harvey House,178,119.6929579,58.30704214,different,TRUE
12,2011-06-21 20:24:27 UTC,0,Snow Church,Sauer Center,Tobler Museum,140,63.69277617,76.30722383,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Snow Church,Sauer Center,Golledge Hall,138,125.8431145,12.15688545,same,TRUE
12,2011-06-21 20:24:27 UTC,0,Snow Church,Sauer Center,Lynch Station,25,79.44851915,54.44851915,different,TRUE
